kanji,level
綾,準1級
鮎,準1級
或,準1級
粟,準1級
袷,準1級
庵,準1級
按,準1級
鞍,準1級
杏,準1級
伊,準1級
夷,準1級
惟,準1級
謂,準1級
亥,準1級
郁,準1級
磯,準1級
溢,準1級
鰯,準1級
允,準1級
胤,準1級
蔭,準1級
吋,準1級
烏,準1級
迂,準1級
卯,準1級
鵜,準1級
窺,準1級
丑,準1級
碓,準1級
嘘,準1級
欝,準1級
蔚,準1級
鰻,準1級
姥,準1級
厩,準1級
瓜,準1級
閏,準1級
噂,準1級
云,準1級
荏,準1級
叡,準1級
嬰,準1級
曳,準1級
洩,準1級
瑛,準1級
盈,準1級
穎,準1級
頴,準1級
榎,準1級
厭,準1級
堰,準1級
奄,準1級
掩,準1級
焔,準1級
燕,準1級
苑,準1級
薗,準1級
鴛,準1級
於,準1級
甥,準1級
襖,準1級
鴬,準1級
鴎,準1級
荻,準1級
桶,準1級
牡,準1級
伽,準1級
嘉,準1級
珂,準1級
禾,準1級
茄,準1級
蝦,準1級
嘩,準1級
迦,準1級
霞,準1級
俄,準1級
峨,準1級
臥,準1級
蛾,準1級
駕,準1級
廻,準1級
恢,準1級
魁,準1級
晦,準1級
芥,準1級
蟹,準1級
凱,準1級
咳,準1級
碍,準1級
鎧,準1級
浬,準1級
馨,準1級
蛙,準1級
蛎,準1級
鈎,準1級
劃,準1級
廓,準1級
撹,準1級
赫,準1級
笠,準1級
樫,準1級
橿,準1級
梶,準1級
鰍,準1級
恰,準1級
鰹,準1級
叶,準1級
椛,準1級
樺,準1級
鞄,準1級
兜,準1級
竃,準1級
蒲,準1級
噛,準1級
鴨,準1級
茅,準1級
萱,準1級
粥,準1級
苅,準1級
侃,準1級
姦,準1級
柑,準1級
桓,準1級
澗,準1級
潅,準1級
竿,準1級
翰,準1級
莞,準1級
諌,準1級
舘,準1級
巌,準1級
癌,準1級
翫,準1級
贋,準1級
雁,準1級
嬉,準1級
毅,準1級
稀,準1級
徽,準1級
妓,準1級
祇,準1級
蟻,準1級
誼,準1級
掬,準1級
鞠,準1級
吃,準1級
桔,準1級
橘,準1級
砧,準1級
杵,準1級
黍,準1級
