group	transitive_kanji	transitive_kana	transitive_pos	transitive_gloss	intransitive_kanji	intransitive_kana	intransitive_pos	intransitive_gloss
2	切る	きる	suf,v5r	to cut; to chop; to hash; to carve; to saw; to clip; to shear; to slice; to strip; to fell; to cut down; to punch; to sever (connections); to pause; to break off; to disconnect; to turn off; to hang up; to cross (a street); to discount; to sell below cost; to shake (water) off; to finish; to be through; to complete	切れる	きれる	v1	(1) to cut well; to be sharp; (2) to break (off); to snap; to wear out; (3) to be injured; (4) to burst; to collapse; (5) to be disconnected; to be out of; to expire; to sever (connections) with; (6) to be shrewd; to have a sharp mind
2	破る	やぶる	v5r,vt	to tear; to violate; to defeat; to smash; to destroy	破れる	やぶれる	v1	to get torn; to wear out
2	割る	わる	v5r	to divide; to cut; to break; to halve; to separate; to split; to rip; to crack; to smash; to dilute	割れる	われる	v1,vi	to break; to split; to cleave; to fissure; to be smashed; to crack; to be torn
2	削る	けずる	v5r	(1) to shave (wood or leather); to sharpen; to plane; to whittle; to pare; to scrape off; (2) to cross out; to reduce; to curtail; to remove; to erase	削れる	けずれる	v5r	to be shaved or planed
2	擦る	かする	v5r	to touch lightly; to take a percentage (from)	擦れる	すれる	v1	to rub; to chafe; to wear; to become sophisticated
2	解く	ほどく	v5k	to unfasten	解ける	ほどける	v1	to come untied; to come apart
2	解く	とく	v5k	to solve; to answer; to untie	解ける	とける	v1	(1) to loosen; to come untied; (2) to be solved; (3) to be removed; to be cleared
2	取る	とる	v5r	to take; to pick up; to harvest; to earn; to choose	取れる	とれる	v1	to come off; to be taken off; to be removed; to be obtained; to leave; to come out (e.g. photo); to be interpreted
2	撚る	よる	v5r	to twist (yarn); to lay (rope)	縒れる	よれる	v1	to get twisted; to get kinked
2	捻る (捻じる)	ねじる	v5r	(1) to screw; to twist; (2) to distort; (3) to torture; to wrest	捻れる	ねじれる	v1	to twist; to wrench; to screw
2	釣る	つる	v5r	to fish	釣れる	つれる	v1	to be fished
2	抜く	ぬく	v5k	(1) to extract; to omit; to surpass; to overtake; to draw out; to unplug; (2) (suf) to do something to the end	抜ける	ぬける	v1	to come out; to fall out; to be omitted; to be missing; to escape
2	裂く	さく	v5k	to tear; to split	裂ける	さける	v1	to split; to tear; to burst
2	割く	さく	v5k	to cut up; to separate; to spare (e.g. time); to cleave; to sever; to divide; to cede; to alienate	割ける	さける	v1	to be separated; to be divided
2	使う	つかう	v5u	to use; to handle; to manipulate; to employ; to need; to want; to spend; to consume; to speak (English); to practise (fencing); to practice (fencing); to take (one's lunch); to circulate (bad money)	仕える	つかえる	v1	to serve; to work for
2	焼く	やく	v5k	to bake; to grill	焼ける	やける	v1,vi	to burn; to be roasted; to be sunburnt
2	張る	はる	v5r,vi,vt	to stick; to paste; to put; to affix; to stretch; to spread; to strain; to stick out; to slap; to be expensive; to tighten	腫れる	はれる	v1	to swell (from inflammation); to become swollen
2	思う	おもう	v5u	to think; to feel	思える	おもえる	v1	to seem; to appear likely
2	知る	しる	v5r	to know; to understand; to be acquainted with; to feel	知れる	しれる	v1	to become known; to come to light; to be discovered
2	砕く	くだく	v5k,vt	to break; to smash	砕ける	くだける	v1,vi	to break; to be broken
2	欠く	かく	v5k	to lack; to break; to crack; to chip	欠ける	かける	v1	to be lacking
2	脱ぐ	ぬぐ	v5g	to take off (clothes, shoes, etc.); to undress	脱げる	ぬげる	v1	to come off; to slip down; to slip off
2	売る	うる	v5r	to sell	売れる	うれる	v1	to be sold
2	弾く	はじく	v5k	to flip; to snap	弾ける	はじける	v1	to burst open; to split open; to pop
2	捲る	まくる	suf,v5r	(1) to turn up; to roll up (e.g. sleeves); (2) verb suffix to indicate reckless abandon to the activity	捲れる	まくれる	v1	to be (get) turned up (inside out)
2	捲る	めくる	v5r	to turn over; to turn pages of a book; to tear off; to strip off	捲れる	まくれる	v1	to be (get) turned up (inside out)
2	分ける	わける	v1	to divide; to separate; to make distinctions; to differentiate (between)	分かれる	わかれる	v1	to branch off; to diverge from; to fork; to split; to dispense; to scatter; to divide into
2	開く	あく	v5k,vi	(1) to open; to become open; to become empty	開ける	あける	v1	to open
2	聞く	きく	v5k	(1) to hear; to listen; (2) to ask	聞こえる	きこえる	v1	(1) to be heard; to be audible; (2) to be said to be; to be reputed
2	見る	みる	v1	(1) to see; to watch; (2) (as an auxiliary verb) to try	見える	みえる	v1	to be seen; to be in sight; to look; to seem; to appear
2	煮る	にる	v1,vt	to boil; to cook	煮える	にえる	v1,vi	to boil; to cook; to be cooked
2	炊く	たく	v5k	to boil; to cook	炊ける	たける	v1	to be boiled; to be cooked; to be done; to be ready
2	刳る	えぐる	v5r	to gouge; to hollow out; to bore; to excavate; to scoop out	刳れる	えぐれる	v1	to be gouged; to be hollowed
2	振るう	ふるう	v5u	to flourish; to prosper; to thrive	震える	ふるえる	v1	to shiver; to shake; to quake
3	和える	あえる	v1	to dress vegetables (salad)	合う	あう	v5u	to fit; to suit; to agree with; to match; to be correct; to be profitable
3	赤らめる	あからめる	v1	to blush; to redden	赤らむ	あからむ	v5m	to become red; to redden; to blush
3	傷める	いためる	v1	to damage; to impair; to spoil	傷む	いたむ	v5m	to be damaged; to go bad
3	痛める	いためる	v1	to hurt; to injure; to cause pain; to worry; to bother; to afflict; to be grieved over	痛む	いたむ	v5m	to hurt; to feel a pain; to be injured
3	開ける	あける	v1	to open	開く	あく	v5k,vi	(1) to open; to become open; to become empty
3	点ける	つける	v1	(uk) to turn on; to switch on; to light up	点く	つく	v5k	(1) to catch fire; (2) to be lit, e.g. electricity comes on; to be lighted
3	痛める	いためる	v1	to hurt; to injure; to cause pain; to worry; to bother; to afflict; to be grieved over	痛む	いたむ	v5m	to hurt; to feel a pain; to be injured
3	入れる	いれる	v1	to put in; to take in; to bring in; to let in; to admit; to introduce; to commit (to prison); to usher in; to insert; to set (jewels); to employ; to listen to; to tolerate; to comprehend; to include; to pay (interest); to cast (votes)	入る	いる	v5r	to get in; to go in; to come in; to flow into; to set; to set in
3	浮かべる	うかべる	v1	to float; to express; to look (sad, glad)	浮かぶ	うかぶ	v5b	to float; to rise to surface; to come to mind
3	換える	かえる	v1	to exchange; to interchange; to substitute; to replace	交う	かう		; (v5u) to take turns; to mingle together
3	絡める	からめる	v1	(1) to arrest; (2) to entwine; to twine around; (3) to coordinate (with)	絡む	からむ	v5m	(1) to entangle; to entwine; (2) to pick a quarrel; (3) to be involved with
3	込める	こめる	v1	to include; to put into	込む	こむ	v5m	(1) to be crowded; (2) to go inside (usu. only when used in compound verbs)
3	沈める	しずめる	v1,vt	to sink; to submerge	沈む	しずむ	v5m	to sink; to feel depressed
3	従える	したがえる	v1	(1) to be accompanied by; (2) to subdue	従う	したがう	v5u	to abide (by the rules); to obey; to follow; to accompany
3	退ける	しりぞける	v1,vt	to repel; to drive away; to repulse; to reject	退く	しりぞく	v5k,vi	(1) to retreat; to recede; to withdraw; (2) to retire
3	進める	すすめる	v1,vt	to advance; to promote; to hasten	進む	すすむ	v5m,vi	to make progress; to advance; to improve
3	窄める	すぼめる	v1	to make narrower; to shut (an umbrella); to shrug (one's shoulders); to purse (one's lips)	窄む	すぼむ	v5m	to get narrower; to contract
3	育てる	そだてる	v1,vt	to raise; to rear; to bring up	育つ	そだつ	v5t,vi	to be raised (e.g. child); to be brought up; to grow (up)
3	建てる	たてる	v1	to build; to construc	建つ	たつ	v5t	to erect; to be erected; to be built
