level,kanji,readings,meanings
N4,思,シ | おも.う | おもえら.く | おぼ.す,think
N4,住,ジュウ | ヂュウ | チュウ | す.む | す.まう | ~ず.まい,dwell | reside | live | inhabit
N4,広,コウ | ひろ.い | ひろ.まる | ひろ.める | ひろ.がる | ひろ.げる,wide | broad | spacious
N4,妹,マイ | いもうと,younger sister
N4,赤,セキ | シャク | あか | あか~ | あか.い | あか.らむ | あか.らめる,red
N4,旅,リョ | たび,trip | travel
N4,家,カ | ケ | いえ | や | うち,house | home | family | professional | expert | performer
N4,姉,シ | あね | はは,elder sister
N4,駅,エキ,station
N4,送,ソウ | おく.る,escort | send
N4,度,ド | ト | タク | たび | ~た.い,degrees | occurrence | time | counter for occurrences | consider | attitude
N4,重,ジュウ | チョウ | え | おも.い | おも.り | おも.なう | かさ.ねる | かさ.なる | おも,heavy | important | esteem | respect | heap up | pile up | nest of boxes | -fold
N4,館,カン | やかた | たて,building | mansion | large building | palace
N4,元,ゲン | ガン | もと,beginning | former time | origin
N4,色,ショク | シキ | いろ,color
N4,代,ダイ | タイ | か.わる | かわ.る | かわ.り | か.わり | ~がわ.り | ~が.わり | か.える | よ | しろ,"substitute | change | convert | replace | period | age | counter for decades of ages, eras, etc. | generation | charge | rate | fee"
N4,注,チュウ | そそ.ぐ | さ.す | つ.ぐ,pour | irrigate | shed (tears) | flow into | concentrate on | notes | comment | annotate
N4,屋,オク | や,roof | house | shop | dealer | seller
N4,計,ケイ | はか.る | はか.らう,plot | plan | scheme | measure
N4,曜,ヨウ,weekday
N4,字,ジ | あざ | あざな | ~な,character | letter | word | section of village
N4,待,タイ | ま.つ | ~ま.ち,wait | depend on
N4,習,シュウ | ジュ | なら.う | なら.い,learn
N4,動,ドウ | うご.く | うご.かす,move | motion | change | confusion | shift | shake
N4,使,シ | つか.う | つか.い | ~つか.い | ~づか.い,use | send on a mission | order | messenger | envoy | ambassador | cause
N4,理,リ | ことわり,logic | arrangement | reason | justice | truth
N4,魚,ギョ | うお | さかな | ~ざかな,fish
N4,教,キョウ | おし.える | おそ.わる,teach | faith | doctrine
N4,空,クウ | そら | あ.く | あ.き | あ.ける | から | す.く | す.かす | むな.しい,empty | sky | void | vacant | vacuum
N4,野,ヤ | ショ | の | の~,plains | field | rustic | civilian life
N4,台,ダイ | タイ | うてな | われ | つかさ,pedestal | a stand | counter for machines and vehicles
N4,以,イ | もっ.て,by means of | because | in view of | compared with
N4,終,シュウ | お.わる | ~お.わる | おわ.る | お.える | つい | つい.に,end | finish
N4,昼,チュウ | ひる,daytime | noon
N4,鳥,チョウ | とり,bird | chicken
N4,新,シン | あたら.しい | あら.た | あら~ | にい~,new
N4,夏,カ | ガ | ゲ | なつ,summer
N4,服,フク,clothing | admit | obey | discharge
N4,英,エイ | はなぶさ,England | English | hero | outstanding | calyx
N4,転,テン | ころ.がる | ころ.げる | ころ.がす | ころ.ぶ | まろ.ぶ | うたた | うつ.る | くる.めく,revolve | turn around | change
N4,品,ヒン | ホン | しな,goods | refinement | dignity | article | counter for meal courses
N4,止,シ | と.まる | ~ど.まり | と.める | ~と.める | ~ど.め | とど.める | とど.め | とど.まる | や.める | や.む | ~や.む | よ.す | ~さ.す | ~さ.し,stop | halt
N4,近,キン | コン | ちか.い,near | early | akin | tantamount
N4,足,ソク | あし | た.りる | た.る | た.す,leg | foot | be sufficient | counter for pairs of footwear
N4,研,ケン | と.ぐ,polish | study of | sharpen
N4,紙,シ | かみ,paper
N4,場,ジョウ | チョウ | ば,location | place
N4,開,カイ | ひら.く | ひら.き | ~びら.き | ひら.ける | あ.く | あ.ける,open | unfold | unseal
N4,貸,タイ | か.す | か.し~ | かし~,lend
N4,帰,キ | かえ.る | かえ.す | おく.る | とつ.ぐ,homecoming | arrive at | lead to | result in
N4,員,イン,employee | member | number | the one in charge
N4,歩,ホ | ブ | フ | ある.く | あゆ.む,walk | counter for steps
N4,私,シ | わたくし | わたし,private | I | me
N4,堂,ドウ,public chamber | hall
N4,町,チョウ | まち,town | village | block | street
N4,体,タイ | テイ | からだ | かたち,body | substance | object | reality | counter for images
N4,発,ハツ | ホツ | た.つ | あば.く | おこ.る | つか.わす | はな.つ,departure | discharge | publish | emit | start from | disclose | counter for gunshots
N4,起,キ | お.きる | お.こる | お.こす | おこ.す | た.つ,rouse | wake up | get up
N4,室,シツ | むろ,room | apartment | chamber | greenhouse | cellar
N4,朝,チョウ | あさ,morning | dynasty | regime | epoch | period | (North) Korea
N4,売,バイ | う.る | う.れる,sell
N4,者,シャ | もの,someone | person
N4,借,シャク | か.りる,borrow | rent
N4,勉,ベン | つと.める,exertion | endeavour | encourage | strive | make effort | diligent
N4,漢,カン,Sino- | China
N4,道,ドウ | トウ | みち | いう,road-way | street | district | journey | course | moral | teachings
N4,目,モク | ボク | め | ~め | ま~,eye | class | look | insight | experience | care | favor
N4,自,ジ | シ | みずか.ら | おの.ずから | おの.ずと,oneself
N4,持,ジ | も.つ | ~も.ち | も.てる,hold | have
N4,歌,カ | うた | うた.う,song | sing
N4,風,フウ | フ | かぜ | かざ~ | ~かぜ,wind | air | style | manner
N4,早,ソウ | サッ | はや.い | はや | はや~ | はや.まる | はや.める | さ~,early | fast
N4,方,ホウ | かた | ~かた | ~がた,direction | person | alternative
N4,作,サク | サ | つく.る | つく.り | ~づく.り,make | production | prepare | build
N4,写,シャ | ジャ | うつ.す | うつ.る | うつ~ | うつ.し,copy | be photographed | describe
N4,真,シン | ま | ま~ | まこと,true | reality | Buddhist sect
N4,正,セイ | ショウ | ただ.しい | ただ.す | まさ | まさ.に,correct | justice | righteous | 10**40
N4,茶,チャ | サ,tea
N4,手,シュ | ズ | て | て~ | ~て | た~,hand
N4,青,セイ | ショウ | あお | あお~ | あお.い,blue | green
N4,答,トウ | こた.える | こた.え,solution | answer
N4,仕,シ | ジ | つか.える,attend | doing | official | serve
N4,急,キュウ | いそ.ぐ | いそ.ぎ,hurry | emergency | sudden | steep
N4,着,チャク | ジャク | き.る | ~ぎ | き.せる | ~き.せ | つ.く | つ.ける,don | arrive | wear | counter for suits of clothing
N4,黒,コク | くろ | くろ.ずむ | くろ.い,black
N4,始,シ | はじ.める | ~はじ.める | はじ.まる,commence | begin
N4,悪,アク | オ | わる.い | わる~ | あ.し | にく.い | ~にく.い | ああ | いずくに | いずくんぞ | にく.む,bad | vice | rascal | false | evil | wrong
N4,犬,ケン | いぬ | いぬ~,dog
N4,意,イ,idea | mind | heart | taste | thought | desire | care | liking
N4,楽,ガク | ラク | ゴウ | たの.しい | たの.しむ | この.む,music | comfort | ease
N4,究,キュウ | ク | きわ.める,research | study
N4,飯,ハン | めし,meal | boiled rice
N4,春,シュン | はる,springtime | spring (season)
N4,夕,セキ | ゆう,evening
N4,親,シン | おや | おや~ | した.しい | した.しむ,parent | intimacy | relative | familiarity | dealer (cards)
N4,会,カイ | エ | あ.う | あ.わせる | あつ.まる,meeting | meet | party | association | interview | join
N4,験,ケン | ゲン | あかし | しるし | ため.す | ためし,verification | effect | testing
N4,世,セイ | セ | ソウ | よ,generation | world | society | public
N4,不,フ | ブ,negative | non- | bad | ugly | clumsy
N4,公,コウ | ク | おおやけ,public | prince | official | governmental
N4,文,ブン | モン | ふみ | あや,sentence | literature | style | art | decoration | figures | plan | literary radical (no. 67)
N4,冬,トウ | ふゆ,winter
N4,秋,シュウ | あき | とき,autumn
N4,銀,ギン | しろがね,silver
N4,族,ゾク,tribe | family
N4,建,ケン | コン | た.てる | た.て | ~だ.て | た.つ,build
N4,強,キョウ | ゴウ | つよ.い | つよ.まる | つよ.める | し.いる | こわ.い,strong
N3,招,ショウ | まね.く,beckon | invite | summon | engage
N3,要,ヨウ | い.る | かなめ,need | main point | essence | pivot | key to
N3,位,イ | くらい | ぐらい,rank | grade | throne | crown | about | some
N3,原,ゲン | はら,meadow | original | primitive | field | plain | prairie | tundra | wilderness
N3,交,コウ | まじ.わる | まじ.える | ま.じる | まじ.る | ま.ざる | ま.ぜる | ~か.う | か.わす | かわ.す | こもごも,mingle | mixing | association | coming & going
N3,財,ザイ | サイ | ゾク | たから,property | money | wealth | assets
N3,皆,カイ | みな | みんな,all | everything
N3,内,ナイ | ダイ | うち,inside | within | between | among | house | home
N3,昔,セキ | シャク | むかし,once upon a time | antiquity | old times
N3,収,シュウ | おさ.める | おさ.まる,income | obtain | reap | pay | supply | store
N3,首,シュ | くび,neck | counter for songs and poems
N3,勝,ショウ | か.つ | ~が.ち | まさ.る | すぐ.れる | かつ,victory | win | prevail | excel
N3,髪,ハツ | かみ,hair of the head
N3,積,セキ | つ.む | ~づ.み | つ.もる | つ.もり,volume | product (x*y) | acreage | contents | pile up | stack | load | amass
N3,感,カン,emotion | feeling | sensation
N3,働,ドウ | はたら.く,work | (kokuji)
N3,未,ミ | ビ | いま.だ | ま.だ | ひつじ,un- | not yet | hitherto | still | even now | sign of the ram | 1-3PM | eighth sign of Chinese zodiac
N3,逃,トウ | に.げる | に.がす | のが.す | のが.れる,escape | flee | shirk | evade | set free
N3,資,シ,assets | resources | capital | funds | data | be conducive to | contribute to
N3,現,ゲン | あらわ.れる | あらわ.す | うつつ | うつ.つ,present | existing | actual
N3,当,トウ | あ.たる | あ.たり | あ.てる | あ.て | まさ.に | まさ.にべし,hit | right | appropriate | himself
N3,他,タ | ほか,other | another | the others
N3,神,シン | ジン | かみ | かん~ | こう~,gods | mind | soul
N3,捕,ホ | と.らえる | と.らわれる | と.る | とら.える | とら.われる | つか.まえる | つか.まる,catch | capture
N3,進,シン | すす.む | すす.める,advance | proceed | progress | promote
N3,飛,ヒ | と.ぶ | と.ばす | ~と.ばす,fly | skip (pages) | scatter
N3,息,ソク | いき,breath | respiration | son | interest (on money)
N3,祖,ソ,ancestor | pioneer | founder
N3,礼,レイ | ライ,salute | bow | ceremony | thanks | remuneration
N3,遅,チ | おく.れる | おく.らす | おそ.い,slow | late | back | later
N3,吸,キュウ | す.う,suck | imbibe | inhale | sip
N3,予,ヨ | シャ | あらかじ.め,beforehand | previous | myself | I
N3,疲,ヒ | つか.れる | ~づか.れ | つか.らす,exhausted | tire | weary
N3,迷,メイ | まよ.う,astray | be perplexed | in doubt | lost | err | illusion
N3,徒,ト | いたずら | あだ,on foot | junior | emptiness | vanity | futility | uselessness | ephemeral thing | gang | set | party | people
N3,忘,ボウ | わす.れる,forget
N3,抱,ホウ | だ.く | いだ.く | かか.える,embrace | hug | hold in arms
N3,値,チ | ね | あたい,price | cost | value
N3,単,タン | ひとえ,simple | one | single | merely
N3,追,ツイ | お.う,chase | drive away | follow | pursue | meanwhile
N3,雪,セツ | ゆき,snow
N3,配,ハイ | くば.る,distribute | spouse | exile | rationing
N3,限,ゲン | かぎ.る | かぎ.り | ~かぎ.り,limit | restrict | to best of ability
N3,選,セン | えら.ぶ,elect | select | choose | prefer
N3,雑,ザツ | ゾウ | まじ.える | まじ.る,miscellaneous
N3,権,ケン | ゴン | おもり | かり | はか.る,authority | power | rights
